"SRR1554536"	"SRR1554538"	"SRR1554556"	"SRR1554561"	"SRR1554566"	"SRR1554568"
"X100128590"	"0"	"138"	"28"	"22"	"22"	"21"
"X100128593"	"3"	"4"	"5"	"16"	"4"	"0"
"X100128596"	"1"	"0"	"0"	"0"	"0"	"0"
"X100128640"	"14"	"355"	"57"	"89"	"293"	"373"
"X100128644"	"8"	"78"	"71"	"88"	"114"	"77"
"X100128653"	"25"	"103"	"106"	"185"	"155"	"132"
"X100128655"	"0"	"0"	"0"	"0"	"0"	"0"
"X100128675"	"13"	"1"	"824"	"63"	"1"	"0"
"X100128726"	"10"	"44"	"57"	"16"	"30"	"26"
"X100128731"	"973"	"3010"	"1850"	"799"	"2473"	"1854"
"X100128737"	"53"	"161"	"163"	"88"	"235"	"134"
"X100128750"	"7"	"0"	"4"	"5"	"0"	"0"
"X100128751"	"0"	"0"	"2"	"0"	"0"	"3"
"X100128770"	"4"	"32"	"27"	"30"	"61"	"25"
"X100128782"	"254"	"842"	"872"	"929"	"1065"	"1311"
"X100128785"	"3"	"78"	"3"	"8"	"16"	"6"
"X100128788"	"4"	"21"	"30"	"11"	"26"	"20"
"X100128811"	"3"	"0"	"41"	"66"	"2"	"2"
"X100128816"	"8"	"55"	"16"	"8"	"22"	"38"
"X100128818"	"0"	"32"	"0"	"6"	"13"	"4"
"X100128822"	"158"	"715"	"511"	"442"	"1077"	"1092"
"X100128840"	"0"	"0"	"0"	"0"	"0"	"0"
"X100128881"	"14"	"544"	"352"	"281"	"279"	"275"
"X100128890"	"27"	"218"	"51"	"326"	"78"	"233"
"X100128893"	"0"	"0"	"0"	"0"	"2"	"0"
"X100128905"	"0"	"6"	"0"	"0"	"0"	"2"
"X100128908"	"3"	"6"	"36"	"6"	"5"	"2"
"X100128909"	"0"	"6"	"6"	"5"	"2"	"1"
"X100128927"	"44"	"205"	"54"	"65"	"361"	"187"
"X100128935"	"0"	"0"	"0"	"0"	"0"	"0"
"X100128946"	"18"	"87"	"175"	"98"	"68"	"39"
"X100128977"	"0"	"52"	"15"	"26"	"15"	"5"
"X100128979"	"6"	"64"	"54"	"51"	"171"	"101"
"X100128988"	"0"	"0"	"0"	"0"	"0"	"2"
"X100128997"	"109"	"111"	"2526"	"842"	"107"	"78"
"X100128998"	"4"	"0"	"0"	"2"	"0"	"0"
"X100129027"	"0"	"2"	"4"	"0"	"8"	"5"
"X100129033"	"2"	"31"	"10"	"7"	"23"	"28"
"X100129034"	"2093"	"6877"	"3328"	"3031"	"6396"	"5582"
"X100129046"	"0"	"2"	"9"	"5"	"2"	"6"
"X100129055"	"0"	"4"	"21"	"7"	"7"	"0"
"X100129060"	"28"	"497"	"239"	"123"	"316"	"472"
"X100129066"	"0"	"1"	"0"	"0"	"8"	"7"
"X100129075"	"14"	"70"	"21"	"35"	"74"	"72"
"X100129083"	"0"	"4"	"1"	"0"	"8"	"2"
"X100129085"	"8"	"51"	"17"	"7"	"64"	"32"
"X100129094"	"0"	"4"	"0"	"0"	"4"	"3"
"X100129098"	"0"	"0"	"0"	"0"	"2"	"2"
"X100129101"	"2"	"9"	"29"	"15"	"8"	"3"
"X100129104"	"80"	"293"	"167"	"148"	"270"	"246"
"X100129118"	"6"	"52"	"27"	"24"	"27"	"51"
"X100129119"	"0"	"10"	"4"	"3"	"13"	"2"
"X100129128"	"8"	"49"	"20"	"12"	"31"	"23"
"X100129135"	"0"	"0"	"0"	"0"	"0"	"0"
"X100129138"	"0"	"5"	"2"	"1"	"16"	"10"
"X100129144"	"0"	"0"	"0"	"0"	"0"	"0"
"X100129148"	"2"	"16"	"24"	"7"	"25"	"18"
"X100129195"	"162"	"406"	"351"	"161"	"314"	"399"
"X100129196"	"9"	"5"	"188"	"39"	"12"	"5"
"X100129201"	"0"	"12"	"16"	"0"	"1"	"6"
"X100129203"	"67"	"50"	"103"	"30"	"53"	"29"
"X100129204"	"2"	"38"	"21"	"34"	"17"	"6"
"X100129215"	"24"	"301"	"103"	"115"	"240"	"159"
"X100129216"	"0"	"31"	"4"	"1"	"28"	"16"
"X100129223"	"49"	"875"	"516"	"475"	"1057"	"660"
"X100129233"	"0"	"8"	"4"	"6"	"4"	"8"
"X100129239"	"0"	"0"	"0"	"0"	"0"	"0"
"X100129250"	"72"	"30"	"92"	"27"	"34"	"40"
"X100129268"	"32"	"227"	"96"	"43"	"167"	"173"
"X100129269"	"2"	"10"	"27"	"11"	"24"	"25"
"X100129271"	"0"	"0"	"0"	"0"	"0"	"0"
"X100129307"	"0"	"2"	"0"	"0"	"0"	"1"
"X100129316"	"0"	"14"	"8"	"14"	"4"	"10"
"X100129345"	"0"	"2"	"0"	"0"	"50"	"24"
"X100129354"	"9"	"24"	"14"	"6"	"19"	"10"
"X100129387"	"73"	"4614"	"900"	"267"	"4461"	"4131"
"X100129396"	"4"	"447"	"15"	"39"	"0"	"11"
"X100129405"	"21"	"810"	"247"	"199"	"789"	"704"
"X100129407"	"0"	"0"	"0"	"0"	"0"	"0"
"X100129409"	"0"	"2"	"1"	"0"	"4"	"2"
"X100129413"	"0"	"0"	"0"	"0"	"0"	"0"
"X100129424"	"3"	"22"	"9"	"14"	"31"	"9"
"X100129427"	"2"	"0"	"0"	"0"	"0"	"0"
"X100129434"	"23"	"112"	"322"	"174"	"118"	"58"
"X100129461"	"3"	"7"	"1"	"0"	"2"	"3"
"X100129463"	"0"	"0"	"0"	"0"	"0"	"0"
"X100129478"	"9"	"9"	"16"	"13"	"19"	"10"
"X100129482"	"1094"	"10204"	"4723"	"3439"	"6559"	"8711"
"X100129484"	"50"	"527"	"295"	"403"	"658"	"378"
"X100129492"	"0"	"4"	"2"	"0"	"7"	"1"
"X100129503"	"1"	"26"	"3"	"24"	"42"	"10"
"X100129515"	"0"	"0"	"2"	"9"	"0"	"0"
"X100129518"	"17"	"204"	"86"	"88"	"213"	"135"
"X100129534"	"37"	"282"	"147"	"250"	"328"	"198"
"X100129543"	"14"	"596"	"27"	"0"	"681"	"585"
"X100129550"	"144"	"2381"	"1163"	"782"	"1440"	"1964"
"X100129583"	"204"	"91"	"605"	"360"	"79"	"54"
"X100129596"	"4"	"35"	"2"	"7"	"43"	"16"
"X100129597"	"0"	"0"	"0"	"0"	"0"	"0"
"X100129617"	"0"	"61"	"25"	"20"	"74"	"51"
"X100129620"	"10"	"185"	"22"	"60"	"66"	"157"
"X100129626"	"0"	"0"	"10"	"0"	"0"	"0"
"X100129633"	"2"	"7"	"36"	"11"	"0"	"7"
"X100129637"	"229"	"3079"	"1055"	"1349"	"2609"	"2071"
"X100129654"	"4"	"2"	"12"	"4"	"0"	"0"
"X100129697"	"8"	"37"	"31"	"58"	"81"	"24"
"X100129699"	"0"	"0"	"0"	"0"	"0"	"0"
"X100129702"	"1"	"20"	"12"	"16"	"12"	"17"
"X100129703"	"0"	"2"	"4"	"0"	"4"	"2"
"X100129716"	"6"	"22"	"25"	"11"	"26"	"15"
"X100129722"	"3"	"4"	"22"	"3"	"12"	"11"
"X100129726"	"6"	"62"	"30"	"8"	"94"	"27"
"X100129744"	"0"	"0"	"0"	"0"	"0"	"0"
"X100129781"	"36"	"44"	"116"	"150"	"22"	"0"
"X100129786"	"0"	"0"	"0"	"0"	"0"	"0"
"X100129792"	"35"	"796"	"381"	"102"	"899"	"1158"
"X100129794"	"15"	"116"	"101"	"23"	"32"	"35"
"X100129827"	"5"	"3"	"18"	"4"	"13"	"8"
"X100129831"	"4"	"31"	"12"	"29"	"6"	"4"
"X100129842"	"203"	"7695"	"1380"	"226"	"5993"	"7982"
"X100129845"	"2"	"21"	"5"	"6"	"5"	"10"
"X100129858"	"8"	"48"	"145"	"23"	"37"	"23"
"X100129860"	"0"	"0"	"0"	"0"	"0"	"0"
"X100129885"	"0"	"0"	"0"	"0"	"0"	"1"
"X100129890"	"8"	"201"	"109"	"19"	"179"	"135"
"X100129898"	"0"	"0"	"0"	"0"	"0"	"0"
"X100129917"	"24"	"1399"	"277"	"295"	"936"	"990"
"X100129924"	"0"	"50"	"15"	"8"	"63"	"25"
"X100129931"	"2"	"17"	"15"	"12"	"22"	"10"
"X100129935"	"0"	"0"	"0"	"0"	"0"	"0"
"X100129940"	"0"	"77"	"8"	"2"	"51"	"34"
"X100129961"	"11"	"331"	"150"	"76"	"229"	"166"
"X100129973"	"22"	"35"	"124"	"207"	"27"	"37"
"X100129979"	"0"	"0"	"0"	"0"	"0"	"0"
